code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status
000021,SZ000021,深科技,34,0,12,2433,2026-06-18 17:08:00,5528,ok
000002,SZ000002,万  科Ａ,581,0,52,2198,2026-06-18 17:08:00,5528,ok
000012,SZ000012,南  玻Ａ,613,0,-296,4046,2026-06-18 17:08:00,5528,ok
000001,SZ000001,平安银行,745,1,389,1003,2026-06-18 17:08:00,5528,ok
000006,SZ000006,深振业Ａ,845,0,1857,130,2026-06-18 17:08:00,5528,ok
000027,SZ000027,深圳能源,1286,0,195,1550,2026-06-18 17:08:00,5528,ok
000016,SZ000016,*ST康佳A,1622,0,284,1254,2026-06-18 17:08:00,5528,ok
000025,SZ000025,特  力Ａ,1698,0,-152,3455,2026-06-18 17:08:00,5528,ok
000026,SZ000026,飞亚达,2198,-1,-781,5049,2026-06-18 17:08:00,5528,ok
000009,SZ000009,中国宝安,2457,1,214,1470,2026-06-18 17:08:00,5528,ok
000010,SZ000010,*ST美丽,2576,0,-60,2929,2026-06-18 17:08:00,5528,ok
000008,SZ000008,神州高铁,3273,1,74,2067,2026-06-18 17:08:00,5528,ok
000011,SZ000011,深物业A,3288,0,983,366,2026-06-18 17:08:00,5528,ok
000007,SZ000007,全新好,3633,0,-935,5184,2026-06-18 17:08:00,5528,ok
000014,SZ000014,沙河股份,3670,0,540,730,2026-06-18 17:08:00,5528,ok
000028,SZ000028,国药一致,3849,0,-667,4904,2026-06-18 17:08:00,5528,ok
000020,SZ000020,深华发Ａ,3881,0,-752,5019,2026-06-18 17:08:00,5528,ok
000019,SZ000019,深粮控股,3899,0,-16,2641,2026-06-18 17:08:00,5528,ok
000017,SZ000017,深中华A,4384,-1,76,2056,2026-06-18 17:08:00,5528,ok
000004,SZ000004,*ST国华,5239,0,-99,3160,2026-06-18 17:08:00,5528,ok
